run,type,module,name,attrname,attrvalue,value
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,configname,ThroughputVerification,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,datetime,20210124-16:53:00,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,experiment,ThroughputVerification,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,inifile,omnetpp.ini,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,iterationvars,"$0=0.4, $1=10",
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,iterationvarsf,"0.4,10-",
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,measurement,"$0=0.4, $1=10",
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,network,slottedNetwork,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,processid,29394,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,repetition,12,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,replication,#12,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,resultdir,results,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,runnumber,252,
ThroughputVerification-252-20210124-16:53:00-29394,runattr,,,seedset,12,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.sendProbability,0.4,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.numTransmitters,10,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.isBackoff,false,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.numChannels,1,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.expMean,1s,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.timeSlotSize,2s,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.deterministicInterarrivalTime,true,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.numTransmitters,1,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.numChannels,1,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.sendProbability,1,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.expMean,5s,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.timeSlotSize,5s,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.deterministicInterarrivalTime,false,
ThroughputVerification-252-20210124-16:53:00-29394,param,,,**.isBackoff,true,
