run,type,module,name,attrname,attrvalue,value
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,configname,SimulationScenario,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,datetime,20210123-16:24:44,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,experiment,SimulationScenario,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,inifile,omnetpp.ini,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,iterationvars,"$0=30, $1=6, $2=0.5, $3=25ms",
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,iterationvarsf,"30,6,0.5,25ms-",
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,measurement,"$0=30, $1=6, $2=0.5, $3=25ms",
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,network,slottedNetwork,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,processid,37619,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,repetition,2,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,replication,#2,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,resultdir,results,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,runnumber,52,
SimulationScenario-52-20210123-16:24:44-37619,runattr,,,seedset,2,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.numTransmitters,30,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.numChannels,6,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.sendProbability,0.5,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.expMean,25ms,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.timeSlotSize,5ms,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.thresh,50ms,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.numTransmitters,1,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.numChannels,1,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.sendProbability,1,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.expMean,5s,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.timeSlotSize,5s,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.thresh,20s,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-52-20210123-16:24:44-37619,param,,,**.isBackoff,true,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,configname,SimulationScenario,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,datetime,20210123-16:24:33,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,experiment,SimulationScenario,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,inifile,omnetpp.ini,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,iterationvars,"$0=5, $1=6, $2=0.5, $3=500ms",
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,iterationvarsf,"5,6,0.5,500ms-",
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,measurement,"$0=5, $1=6, $2=0.5, $3=500ms",
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,network,slottedNetwork,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,processid,37449,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,repetition,4,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,replication,#4,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,resultdir,results,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,runnumber,19,
SimulationScenario-19-20210123-16:24:33-37449,runattr,,,seedset,4,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numTransmitters,5,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numChannels,6,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.sendProbability,0.5,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.expMean,500ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.timeSlotSize,5ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.thresh,50ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numTransmitters,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numChannels,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.sendProbability,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.expMean,5s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.timeSlotSize,5s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.thresh,20s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.isBackoff,true,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numTransmitters,5,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numChannels,6,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.sendProbability,0.5,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.expMean,500ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.timeSlotSize,5ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.thresh,50ms,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numTransmitters,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.numChannels,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.sendProbability,1,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.expMean,5s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.timeSlotSize,5s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.thresh,20s,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-19-20210123-16:24:33-37449,param,,,**.isBackoff,true,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,configname,SimulationScenario,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,datetime,20210123-16:24:37,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,experiment,SimulationScenario,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,inifile,omnetpp.ini,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,iterationvars,"$0=5, $1=100, $2=0.5, $3=500ms",
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,iterationvarsf,"5,100,0.5,500ms-",
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,measurement,"$0=5, $1=100, $2=0.5, $3=500ms",
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,network,slottedNetwork,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,processid,37539,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,repetition,2,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,replication,#2,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,resultdir,results,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,runnumber,37,
SimulationScenario-37-20210123-16:24:37-37539,runattr,,,seedset,2,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numTransmitters,5,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numChannels,100,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.sendProbability,0.5,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.expMean,500ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.timeSlotSize,5ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.thresh,50ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numTransmitters,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numChannels,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.sendProbability,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.expMean,5s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.timeSlotSize,5s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.thresh,20s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.isBackoff,true,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numTransmitters,5,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numChannels,100,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.sendProbability,0.5,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.expMean,500ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.timeSlotSize,5ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.thresh,50ms,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numTransmitters,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.numChannels,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.sendProbability,1,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.expMean,5s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.timeSlotSize,5s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.thresh,20s,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-37-20210123-16:24:37-37539,param,,,**.isBackoff,true,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,configname,SimulationScenario,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,datetime,20210123-16:24:40,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,experiment,SimulationScenario,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,inifile,omnetpp.ini,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,iterationvars,"$0=30, $1=6, $2=0.1, $3=25ms",
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,iterationvarsf,"30,6,0.1,25ms-",
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,measurement,"$0=30, $1=6, $2=0.1, $3=25ms",
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,network,slottedNetwork,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,processid,37572,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,repetition,3,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,replication,#3,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,resultdir,results,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,runnumber,43,
SimulationScenario-43-20210123-16:24:40-37572,runattr,,,seedset,3,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numTransmitters,30,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numChannels,6,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.sendProbability,0.1,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.expMean,25ms,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.timeSlotSize,5ms,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.thresh,50ms,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numTransmitters,1,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numChannels,1,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.sendProbability,1,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.expMean,5s,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.timeSlotSize,5s,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.thresh,20s,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.deterministicInterarrivalTime,false,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.isBackoff,true,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numTransmitters,30,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.numChannels,6,
SimulationScenario-43-20210123-16:24:40-37572,param,,,**.sendProbability,0.1,
